job_id,job_title,job_date,job_loc,city_id,job_summary,job_salary,job_education,job_url,company_name,company_type,search_time,search_position,source,search_qualified
55eedb2de0ba3ab2,Group Controller,2022-05-30,Nederland,,"Strong financial, accounting and managerial skills.
Issuing and preparing financial statements (IFRS compliant).
Tax compliance and transfer pricing.",[],master,https://www.indeed.nl/rc/clk?jk=55eedb2de0ba3ab2&fccid=f0858e37d724cd53&vjs=3,Emergya Wind Technologies,employer,2022-06-22 23:52:45,financial controller,indeed.nl,False
5874e4d97187d4f0,Junior Business Controller,2022-05-30,Flevoland,,"Advisering (koppeling van financiële en operationele) KPI’s.
Het aanleveren en beoordelen van investeringsvoorstellen.
Een afgeronde Master of Bachelor.",[],master,https://www.indeed.nl/rc/clk?jk=5874e4d97187d4f0&fccid=ff9d0d92c5fa9933&vjs=3,The Impact Group,employer,2022-06-22 23:52:45,financial controller,indeed.nl,False
58bd7921536fc81c,Financial Controller omgeving Eindhoven,2022-05-23,Eindhoven,5.0,"Jij bent een gedreven en ondernemende financial met een sterk analytisch vermogen.
Ter versterking van het team Accounting & Reporting van de afdeling…",[],master,https://www.indeed.nl/rc/clk?jk=58bd7921536fc81c&fccid=9358779dbbb983ed&vjs=3,Veldsink Advies,employer,2022-06-22 23:52:45,financial controller,indeed.nl,True
59363ec1cf1c93b9,Junior Financial Controller,2022-05-25,Rotterdam,4.0,"Voor een grote speler actief in commodity trading, ben ik per direct op zoek naar meerdere Junior Financial Controllers voor hun Accounting-afdeling.","['2.400', '2.900']",master,https://www.indeed.nl/pagead/clk?mo=r&ad=-6NYlbfkN0DgOAGrtyix9YPeI81G6czGlan50HhJ9TRbX4elWZNxhmpK2WqdXZL_IwU1ZpZ6kRn6Ov0izV6zEdVIW72zAY75AtrKynfPuU8fle0VHeS2IxBQeM74ERWJhQ3CLK-fkqeyI53vaqP3N30hOo8F-bxFkxE0ms2DPjwPufRpi1t9vSKYdIjKh3TP3ObHMwnaQBPw4OXD-rgCUTNYWwSLsG1G-fWSm8XU6uGpeACbMStQVMjOvwXwG56_E2cTB8iqzs1GzFFTXRT80wbCAUtlNJpJXiGAx1z8VPxn_CSUKVhpE5MCuCz7UyzPrvl3hR36fnckuNH5GpBBS-UDhXvscijFInHD4xUjuLg6Rtm47TL8p3piQ84e-PyR89Ibbo4o-XDDAq9RC31FG75uK1Jw5uYnZ_V0q6-ToWrcbghmqARE9sVZnEZqm__By2gX2euz5CS85kGCVKpoi7P_HrBdAEVcQ-GvKoSPohoaTKE6GQTgnfKGZHSparLkZQy6-Gn09oRARXWWj1wRpSY38mOpRbD3m_M4b0ASRzWbKJ0mBv0zk2yB6k8FLVl7kFE9yeZx9w_nqNixPf7wL46kSfcgHXs64efDP-LR6bSH_UktAt36q0q1IuC-ncZiXT31_xi8ic15-qtBb5t5ICectvDghvA7DTLXEGAy6lMq5uPQHKPBGQopfPFbwD37N2Joy4M0z5rK7jCoo0KJtWwNRuF74kZihTJsL-xXoEJGwTjuwOyfsfgpbRR-VZUG&xkcb=SoDl-_M3cGk1KXh9Zz0JbzkdCdPP&p=13&fvj=0&vjs=3,Walters People,recruiter,2022-06-22 23:53:11,financial controller,indeed.nl,False
5b5f36db0ff2fd87,Junior Business Controller,2022-06-15,Rotterdam,4.0,You will support and assist our Group Business Controller with the day-to-day activities and you will have a balanced focus on both Business Control and Finance…,[],master,https://www.indeed.nl/pagead/clk?mo=r&ad=-6NYlbfkN0AxPpcv3JQOt1tRKBsCSgebWM31D8MZZpcBuYyVtZ2j7Trog1g4q_hKbzGGI07M-4PhSnwliHkPZlcEKOLD8BcuxbZCEP_NaMhxN8HpffvbtBopc_uJYIOjL8O5DFYRq3HUhTk2FZD-6V-c0sJAOQyOnv8NiemkyB8yvnhc8IbNI4V1kh1t2VjgM9Gm9Eig0EIFtCN9P4d5dtaXsokKK2BbBZ1Dadt34ZXVIzs1nvS3EJJLyEWJud50u89XuKfqdMV2ZLfQ8apF-F_pN3A_daB4Uf-_Dc_S3wrVHqfpFF71Z_CboGgce-_vCGqToogCeRxAdt_ytV2h-Svoore39bWHYwQ5Ne0-IhNADviaSqiCscrzeLIQWYBXFWdb0iF7XzBGfT4ANpeiEsptV0g-y2aIjrB0XUWnt_hsZi1nx4FEp69KNfcO2cRzmRPEvLB6SmQAx6rUwYJqsJqEsYG3KzigDNVl1U2exbvrdSwl2V09mYS1qX7g0LERG7t0KOAK7_KQzX6RPw58B5Ndv115jGIXN2MWfPtm9PFs0wuedN9kdQ==&xkcb=SoAz-_M3cGkzmWRGkB0LbzkdCdPP&p=11&fvj=0&vjs=3,Robert Half,recruiter,2022-06-22 23:53:11,financial controller,indeed.nl,False
5b6510d1d4539341,Interim Finance Professional,2022-05-23,Eindhoven,5.0,Tijdens de verschillende opdrachten richt jij je op het verbeteren van de bedrijfsvoering en werk je aan financieel administratieve vraagstukken.,[],master,https://www.indeed.nl/rc/clk?jk=5b6510d1d4539341&fccid=1a620804436aa753&vjs=3,YER,recruiter,2022-06-22 23:53:11,financial controller,indeed.nl,False
5ce64d00d5a96571,Group Business Controller,2022-05-23,Zuid-Holland+1 plaats,,"Identify financial business risks and opportunities as well as opportunities for process optimization;
You will realize this with a “data minded” mindset and…",[],master,https://www.indeed.nl/rc/clk?jk=5ce64d00d5a96571&fccid=dd178aaa10bf39b7&vjs=3,Corbulo Executive Search,recruiter,2022-06-22 23:53:11,financial controller,indeed.nl,True
5dc7c82e581c1d57,Boekhoudkundig medewerker,2022-05-23,Ridderkerk,53.0,"Het verzorgen van periodieke financiële rapportages.
Binnen deze rol rapporteer je direct aan een senior Financial Controller.",[],master,https://www.indeed.nl/rc/clk?jk=5dc7c82e581c1d57&fccid=34a4d3ea61097d40&vjs=3,Greenyard,employer,2022-06-22 23:52:45,financial controller,indeed.nl,True
5e39d0964e515bc4,Controller Group Reporting,2022-05-23,Hybride werken in Baarn,827.0,Als controller group reporting geef je ondersteuning op het gebied van de gestructureerde financiële vastleggingen waarbij je in direct contact staat met het…,[],master,https://www.indeed.nl/rc/clk?jk=5e39d0964e515bc4&fccid=7cf099a213c7f22d&vjs=3,Van Wijnen,employer,2022-06-22 23:52:45,financial controller,indeed.nl,True
60449d5aa6591bc9,CREDIT CONTROLLER,2022-05-23,Maarssen,71.0,"Jij bent ambitieus en combineert een sterke financiële basis met een pragmatische manier van werken.
Je bent verantwoordelijk voor de contractbewaking de…","['40.000', '55.000']",master,https://www.indeed.nl/pagead/clk?mo=r&ad=-6NYlbfkN0DSGxZ1ENMxc5B-FJ7R2jl32ycuLemhHJYNGQQ_hR9rcIhONnIT5vQH7_oH05MWn791Odq8rQ_QwqW36IjhtoelabWixutc-HQBlxI7-oFGB1SvlYTxq65KM0_ZQvpJTaDqypzutaByI12sX8yaHQOtHz_LLZro_G8_dhfL1zliLXdhyFRG4FZyROrgb5W4j5iB5WZeHprVQFMq5efnZ2BpDJaU1z4O7SpTfBXNgSiqinzA3GBiPiXcUACcVow8u_S6-N9JpRudr_DCQYf4OC4Ez9JhBQBzjZCktW-L5LB87YDJ57MP-x_s_mvMiUWGsiRisBfolLDd-QfqcOIV-1cHXXwHebXADN7JlZxhfcOQfHrM361uAqv0kt3OqWPWoekRA6VQDsyAuqMAtrbMTeCoT1gxYFE5Nva9ixShgTNt5mL61aE080RObAIjZIzqLkyyPPTz39x6Ru1e9LxUUbyPha8xotG-BcWqpkQu54sN7aLbx5qjv5_gwfvQV-YsNfJzn8wUkpufyIGQ6zVZBDFav-7RnOJU2Rf7HG7tztxVqfwy1RH1CIw6GUXyB8xKw3ZlqaNrHOw4iYUJ40aTT2uNdUuhXYY6Zl-ArFPs8WGEBWpDE4g5y0p1X_ckxB8-3_9GE8NFRpI2rSbOysnJi46AvoMEas3OHxJuzgVsKlXAz4975RN9KNsCS3kHukfwM2B8jFm5fBjhfra8gBP5J7yw5AtO3At7Rf0=&xkcb=SoAh-_M3cGk1KUB9Zz0KbzkdCdPP&p=4&fvj=0&vjs=3,Vijzelaar.com,recruiter,2022-06-22 23:53:11,financial controller,indeed.nl,True
